time;ECG ;is_high_frequency;classes
0.0;0.32318;True;-1
0.04;1.2589;True;-1
0.08;0.29724;True;-1
0.12;0.3006;True;-1
0.16;0.31616;True;-1
0.2;0.36133;True;-1
0.24;0.48035;True;-1
0.28;0.42786;True;-1
0.32;0.27344;True;-1
0.36;0.23651;True;-1
0.4;0.2597;True;-1
0.44;0.23773;True;-1
0.48;0.26855;True;-1
0.52;0.3183;True;-1
0.56;0.13794;True;-1
0.6;0.1001;False;-1
0.64;1.3995;False;-1
0.68;0.13733;False;-1
0.72;0.16785;False;-1
0.76;0.19989;False;-1
0.8;0.27252;False;-1
0.84;0.3476;False;-1
0.88;0.25299;False;-1
0.92;0.14069;False;-1
0.96;0.16479;False;-1
1.0;0.1947;False;-1
1.04;0.19623;False;-1
1.08;0.20538;False;-1
1.12;0.27008;False;-1
1.16;0.1886;False;-1
1.2;0.16937;False;-1
1.24;0.33569;False;-1
1.28;0.33752;False;-1
1.32;0.19806;False;-1
1.36;0.26825;False;-1
1.4;0.28931;False;-1
1.44;0.37384;False;-1
1.48;0.42786;False;-1
1.52;0.2594;False;-1
1.56;0.19928;False;-1
1.6;0.21515;False;-1
1.64;0.1825;False;-1
1.68;0.15503;False;-1
1.72;0.079346;False;-1
1.76;0.17273;False;-1
1.8;0.12177;False;-1
1.84;-0.053711;False;-1
1.88;-0.09552;False;-1
1.92;0.86426;False;-1
1.96;-0.06897;False;-1
2.0;-0.086365;False;-1
2.04;-0.02655;False;-1
2.08;-0.0097656;False;1
2.12;0.074768;False;1
2.16;-0.039978;False;1
2.2;-0.17029;False;1
2.24;-0.17578;False;1
2.28;-0.19409;False;1
2.32;-0.19836;False;1
2.36;-0.24414;False;1
2.4;-0.25085;False;1
2.44;-0.21057;False;1
2.48;-0.32776;False;1
2.52;-0.33752;False;1
2.56;0.30487;False;1
2.6;-0.59753;False;1
2.64;-0.56793;False;1
2.68;-0.44983;False;1
2.72;-0.38239;False;1
2.76;-0.29907;False;1
2.8;-0.27069;False;1
2.84;-0.41748;False;1
2.88;-0.43732;False;1
2.92;-0.34821;False;1
2.96;-0.32959;False;1
3.0;-0.32471;False;1
3.04;-0.33264;False;1
3.08;-0.29877;False;1
3.12;-0.33722;False;1
3.16;-0.34698;False;1
3.2;0.019531;False;1
3.24;0.15228;False;1
3.28;0.11475;False;1
3.32;0.12726;False;1
3.36;0.11383;False;1
3.4;0.28992;False;1
3.44;0.29633;False;1
3.48;0.088806;False;1
3.52;0.0067139;False;1
3.56;0.0094604;False;1
3.6;0.013123;False;1
3.64;-0.013733;False;1
3.68;0.00061035;False;1
3.72;0.098267;False;1
3.76;-0.11566;False;1
3.8;-0.22614;False;1
3.84;0.30212;False;1
3.88;-0.52582;False;1
3.92;-0.45654;False;1
3.96;-0.51331;False;1
4.0;-0.52155;False;1
4.04;-0.37384;False;1
4.08;-0.4007;False;1
4.12;-0.55267;False;1
4.16;-0.62805;False;1
4.2;-0.59113;False;1
4.24;-0.55725;False;1
4.28;-0.51819;False;1
4.32;-0.43488;False;1
4.36;-0.33875;False;1
4.4;-0.44647;False;1
4.44;-0.32745;False;1
4.48;0.51514;False;1
4.52;-0.23743;False;1
4.56;-0.13062;False;1
4.6;-0.079651;False;1
4.64;-0.011902;False;1
4.68;0.0354;False;1
4.72;0.13397;False;1
4.76;0.074768;False;1
4.8;0.24078;False;1
4.84;0.62531;False;1
4.88;0.66467;False;1
4.92;0.73547;False;1
4.96;0.52521;False;1
5.0;0.35492;False;1
5.04;0.61005;False;1
5.08;-0.43182;False;1
5.12;-0.21606;False;1
5.16;-0.13245;False;1
5.2;-0.082703;False;1
5.24;0.033875;False;1
5.28;-0.01709;False;1
5.32;-0.049133;False;1
5.36;-0.0033569;False;1
5.4;0.039368;False;1
5.44;0.10773;True;1
5.48;0.15015;True;1
5.52;0.19257;True;1
5.56;0.23041;True;1
5.6;0.26611;True;1
5.64;0.74036;True;1
5.68;0.29236;True;1
5.72;0.3656;True;1
5.76;0.3949;True;1
5.8;0.34912;True;1
5.84;0.36163;True;1
5.88;0.20325;True;1
5.92;0.036926;True;1
5.96;0.07782;True;1
6.0;0.081787;True;1
6.04;0.12451;True;1
6.08;0.15625;True;1
6.12;0.010071;True;1
6.16;-0.13428;True;1
6.2;1.0379;True;1
6.24;-0.071716;True;1
6.28;-0.032349;True;1
6.32;0.0057983;True;1
6.36;0.13489;True;1
6.4;0.31738;True;1
6.44;0.18036;True;1
6.48;0.21576;True;1
6.52;0.34241;True;1
6.56;0.39459;True;1
6.6;0.35767;True;1
6.64;0.39215;True;1
6.68;0.20966;True;1
6.72;0.15259;True;1
6.76;0.79285;True;1
6.8;-0.090637;True;1
6.84;-0.17853;True;1
6.88;-0.112;True;1
6.92;-0.02655;True;1
6.96;0.14679;True;1
7.0;0.12115;True;1
7.04;0.032654;True;1
7.08;0.077515;True;1
