time;EDA;is_peak;classes
0.0;12.7899;0;-1
0.04;12.8113;0;-1
0.08;12.8265;0;-1
0.12;12.8387;0;-1
0.16;12.8479;0;-1
0.2;12.8571;0;-1
0.24;12.8662;0;-1
0.28;12.8738;0;-1
0.32;12.8754;0;-1
0.36;12.8784;0;-1
0.4;12.8876;0;-1
0.44;12.8784;0;-1
0.48;12.8723;0;-1
0.52;12.8723;0;-1
0.56;12.8662;0;-1
0.6;12.8632;0;1
0.64;12.8616;0;-1
0.68;12.851;0;1
0.72;12.8387;0;1
0.76;12.8235;0;1
0.8;12.8082;0;1
0.84;12.7884;0;1
0.88;12.767;0;1
0.92;12.7426;0;1
0.96;12.7167;0;1
1.0;12.6907;0;1
1.04;12.6709;0;1
1.08;12.6465;0;1
1.12;12.6205;0;1
1.16;12.6007;0;1
1.2;12.5854;0;1
1.24;12.5717;0;1
1.28;12.5702;0;1
1.32;12.5732;0;1
1.36;12.5839;0;1
1.4;12.6022;0;1
1.44;12.6266;0;1
1.48;12.6572;0;1
1.52;12.6938;0;1
1.56;12.7411;0;1
1.6;12.7884;0;1
1.64;12.8387;0;1
1.68;12.8922;0;1
1.72;12.9547;1;1
1.76;13.0066;1;1
1.8;13.0692;1;1
1.84;13.1302;1;1
1.88;13.1912;1;1
1.92;13.2492;1;1
1.96;13.3102;1;1
2.0;13.3728;1;1
2.04;13.4232;1;1
2.08;13.4674;1;1
2.12;13.5071;1;1
2.16;13.5437;1;1
2.2;13.5773;1;1
2.24;13.6093;1;1
2.28;13.6307;1;1
2.32;13.649;1;1
2.36;13.6673;1;1
2.4;13.6948;1;1
2.44;13.6948;1;1
2.48;13.7039;1;1
2.52;13.707;1;1
2.56;13.71;1;1
2.6;13.7207;1;1
2.64;13.7344;1;1
2.68;13.7436;1;1
2.72;13.7405;1;1
2.76;13.7283;1;1
2.8;13.7192;1;1
2.84;13.7054;1;1
2.88;13.6932;1;1
2.92;13.6841;1;1
2.96;13.6749;1;1
3.0;13.6612;1;1
3.04;13.6414;1;1
3.08;13.623;1;1
3.12;13.6093;1;1
3.16;13.5818;1;1
3.2;13.5574;1;1
3.24;13.533;1;1
3.28;13.5086;1;1
3.32;13.4842;1;1
3.36;13.4583;1;1
3.4;13.4369;1;1
3.44;13.4064;1;1
3.48;13.3743;1;1
3.52;13.3438;1;1
3.56;13.3057;1;1
3.6;13.2721;1;1
3.64;13.2324;1;1
3.68;13.1912;1;1
3.72;13.1516;0;1
3.76;13.1119;0;1
3.8;13.0722;0;1
3.84;13.0325;0;1
3.88;12.9898;0;1
3.92;12.9517;0;1
3.96;12.9166;0;1
4.0;12.8769;0;1
4.04;12.8372;0;1
4.08;12.8006;0;1
4.12;12.7609;0;1
4.16;12.7243;0;1
4.2;12.6892;0;1
4.24;12.6541;0;1
4.28;12.6205;0;1
4.32;12.5839;0;1
4.36;12.5488;0;1
4.4;12.5122;0;1
4.44;12.4725;0;1
4.48;12.4405;0;1
4.52;12.4146;0;1
4.56;12.3734;0;1
4.6;12.3413;0;1
4.64;12.3184;0;1
4.68;12.2925;0;1
4.72;12.2711;0;1
4.76;12.2498;0;1
4.8;12.2314;0;1
4.84;12.2208;0;1
4.88;12.2101;0;1
4.92;12.2086;0;1
4.96;12.2086;0;1
5.0;12.2147;0;1
5.04;12.2299;0;1
5.08;12.2482;0;1
5.12;12.2726;0;1
5.16;12.3032;0;1
5.2;12.3352;0;1
5.24;12.3749;0;1
5.28;12.4146;0;1
5.32;12.4634;0;1
5.36;12.5122;0;1
5.4;12.5656;1;1
5.44;12.6175;1;1
5.48;12.6724;1;1
5.52;12.7274;1;1
5.56;12.7808;1;1
5.6;12.8372;1;1
5.64;12.8876;1;1
5.68;12.9395;1;1
5.72;12.9868;1;1
5.76;13.0341;1;1
5.8;13.0753;1;1
5.84;13.1165;1;1
5.88;13.1561;1;1
5.92;13.1958;1;1
5.96;13.2248;1;1
6.0;13.2599;1;1
6.04;13.2889;1;1
6.08;13.3194;1;1
6.12;13.3408;1;1
6.16;13.3591;1;1
6.2;13.3743;1;1
6.24;13.3881;1;1
6.28;13.3957;1;1
6.32;13.4033;1;1
6.36;13.4048;1;1
6.4;13.4079;1;1
6.44;13.4064;1;1
6.48;13.4018;1;1
6.52;13.3987;1;1
6.56;13.3972;1;1
6.6;13.3759;1;1
6.64;13.3621;1;1
6.68;13.3469;1;1
6.72;13.3301;1;1
6.76;13.3102;1;1
6.8;13.2919;1;1
6.84;13.269;1;1
6.88;13.2431;1;1
6.92;13.2202;1;1
6.96;13.1927;1;1
7.0;13.1638;1;1
7.04;13.1378;1;-1
7.08;13.1058;1;-1
7.12;13.0768;1;-1
7.16;13.0417;1;-1
7.2;13.0112;1;-1
7.24;12.97;1;-1
7.28;12.9333;1;-1
7.32;12.9028;1;-1
7.36;12.8723;1;-1
7.4;12.8479;1;1
7.44;12.8281;0;-1
7.48;12.8128;0;1
7.52;12.8067;0;1
7.56;12.8052;1;1
7.6;12.8113;1;1
7.64;12.8235;1;1
7.68;12.8372;1;1
7.72;12.8616;1;1
7.76;12.8876;1;1
7.8;12.9181;1;1
7.84;12.9562;1;-1
7.88;12.9974;1;-1
7.92;13.0386;1;-1
7.96;13.0783;1;-1
8.0;13.1165;1;-1
8.04;13.1561;1;-1
8.08;13.1912;1;-1
8.12;13.2309;1;-1
8.16;13.266;1;-1
8.2;13.2935;1;-1
8.24;13.3194;1;-1
8.28;13.3438;1;-1
8.32;13.3652;1;-1
8.36;13.385;1;-1
8.4;13.4003;1;-1
8.44;13.414;1;-1
8.48;13.4247;1;-1
8.52;13.4399;1;1
8.56;13.4338;1;1
8.6;13.4323;1;1
8.64;13.4293;1;1
8.68;13.4247;1;1
8.72;13.4171;1;1
8.76;13.4079;1;1
8.8;13.3987;1;1
8.84;13.3865;1;1
8.88;13.3698;1;1
8.92;13.3591;1;1
8.96;13.3423;1;1
9.0;13.324;1;1
9.04;13.3057;1;1
9.08;13.2843;1;1
9.12;13.266;1;1
9.16;13.2446;1;1
9.2;13.2187;1;1
9.24;13.1958;1;1
9.28;13.1699;1;1
9.32;13.1439;1;1
9.36;13.118;1;1
9.4;13.0981;1;1
9.44;13.0798;1;1
9.48;13.0508;1;1
9.52;13.0234;1;1
9.56;12.9868;0;1
9.6;12.9593;0;1
9.64;12.9288;0;1
9.68;12.8983;0;1
9.72;12.8662;0;1
9.76;12.8311;0;1
9.8;12.796;0;1
9.84;12.7731;0;1
9.88;12.7335;0;1
9.92;12.7029;0;1
9.96;12.6709;0;1
10.0;12.6404;0;1
10.04;12.6175;0;1
10.08;12.5961;0;1
10.12;12.5763;0;1
10.16;12.558;0;1
10.2;12.5443;0;1
10.24;12.5366;0;1
10.28;12.5351;0;1
10.32;12.5336;0;1
10.36;12.5351;0;1
10.4;12.5443;0;1
10.44;12.5534;0;1
10.48;12.5763;0;1
10.52;12.5839;0;1
10.56;12.6007;1;1
10.6;12.6236;1;1
10.64;12.6495;1;1
10.68;12.6785;1;1
10.72;12.709;1;1
10.76;12.7365;1;1
10.8;12.7609;1;1
10.84;12.7884;1;1
10.88;12.8143;1;1
10.92;12.8372;1;1
10.96;12.8616;1;1
11.0;12.886;1;1
11.04;12.9044;1;1
11.08;12.9227;1;1
11.12;12.9379;1;1
11.16;12.9562;1;1
11.2;12.9669;1;1
11.24;12.9807;1;1
11.28;12.9944;1;1
11.32;13.0005;1;1
11.36;13.0112;1;1
11.4;13.028;1;1
11.44;13.0402;1;1
11.48;13.0417;1;1
11.52;13.0417;1;1
11.56;13.0447;1;1
11.6;13.0432;1;1
11.64;13.0371;1;1
11.68;13.0264;1;1
11.72;13.0203;1;1
11.76;13.0142;1;1
11.8;13.0066;1;1
11.84;12.9898;1;1
11.88;12.973;1;1
11.92;12.9547;1;1
11.96;12.9333;1;1
12.0;12.912;1;1
12.04;12.8891;1;1
12.08;12.8677;1;1
12.12;12.8433;1;1
12.16;12.8143;1;1
12.2;12.7899;1;1
12.24;12.7625;1;1
12.28;12.7335;1;1
12.32;12.706;1;1
12.36;12.6755;1;1
12.4;12.645;1;1
12.44;12.6175;1;1
12.48;12.5839;1;-1
12.52;12.5534;1;-1
12.56;12.5229;0;-1
12.6;12.4924;0;-1
12.64;12.4634;0;-1
12.68;12.4329;0;-1
12.72;12.4054;0;-1
12.76;12.3779;0;-1
12.8;12.3474;0;-1
12.84;12.323;0;-1
12.88;12.2925;0;-1
12.92;12.2665;0;-1
12.96;12.2406;0;-1
13.0;12.2131;0;-1
13.04;12.1887;0;-1
13.08;12.1628;0;-1
13.12;12.1384;0;-1
13.16;12.1124;0;-1
13.2;12.1002;0;-1
13.24;12.0667;0;-1
13.28;12.0438;0;-1
13.32;12.0209;0;-1
13.36;11.9995;0;-1
13.4;11.9781;0;-1
13.44;11.9598;0;-1
13.48;11.94;0;-1
13.52;11.9202;0;-1
13.56;11.8988;0;-1
13.6;11.882;0;-1
13.64;11.8637;0;-1
13.68;11.8454;0;-1
13.72;11.8286;0;-1
13.76;11.8103;0;-1
13.8;11.7935;0;-1
13.84;11.7767;0;-1
13.88;11.7599;0;-1
13.92;11.7416;0;-1
13.96;11.731;0;-1
14.0;11.7126;0;-1
14.04;11.7004;0;-1
14.08;11.6852;0;-1
14.12;11.6699;0;-1
14.16;11.6562;0;-1
14.2;11.6425;0;-1
14.24;11.6318;0;-1
14.28;11.618;0;-1
14.32;11.6058;0;-1
14.36;11.5952;0;-1
14.4;11.5814;0;-1
14.44;11.5723;0;-1
14.48;11.5631;0;-1
14.52;11.5433;0;-1
14.56;11.5265;0;-1
14.6;11.5204;0;-1
14.64;11.5219;0;-1
14.68;11.5143;0;-1
14.72;11.5082;0;-1
14.76;11.5051;0;-1
14.8;11.4914;0;-1
14.84;11.4777;0;-1
14.88;11.4639;0;-1
14.92;11.4548;0;-1
14.96;11.4487;0;-1
15.0;11.4395;0;-1
15.04;11.4288;0;-1
15.08;11.4212;0;-1
15.12;11.4105;0;-1
15.16;11.4014;0;-1
15.2;11.3876;0;-1
15.24;11.3846;0;-1
15.28;11.3739;0;-1
15.32;11.3678;0;-1
15.36;11.3678;0;-1
15.4;11.3678;0;-1
15.44;11.3617;0;-1
15.48;11.3602;0;-1
15.52;11.3586;0;-1
15.56;11.3541;0;-1
15.6;11.351;0;-1
15.64;11.3434;0;-1
15.68;11.3342;0;-1
15.72;11.3266;0;-1
15.76;11.3266;0;-1
15.8;11.3251;0;-1
15.84;11.3251;0;-1
15.88;11.3205;0;-1
15.92;11.319;0;-1
15.96;11.322;0;-1
16.0;11.3174;0;-1
16.04;11.3327;0;-1
16.08;11.3358;0;-1
16.12;11.3403;0;-1
16.16;11.351;0;-1
16.2;11.3556;0;-1
16.24;11.3724;0;-1
16.28;11.377;0;-1
16.32;11.3846;0;-1
16.36;11.3937;0;-1
16.4;11.4014;0;-1
16.44;11.4166;0;-1
16.48;11.4288;0;-1
16.52;11.441;0;-1
16.56;11.4578;0;-1
16.6;11.4746;0;-1
16.64;11.4899;0;-1
16.68;11.5112;0;-1
16.72;11.5326;0;-1
16.76;11.557;0;-1
16.8;11.5829;0;-1
16.84;11.6089;0;-1
16.88;11.6364;0;-1
16.92;11.6699;0;-1
16.96;11.6974;0;-1
17.0;11.7432;0;-1
17.04;11.7935;0;-1
17.08;11.824;0;-1
17.12;11.8637;0;-1
17.16;11.9156;0;-1
17.2;11.9568;0;-1
17.24;11.9995;0;-1
17.28;12.0529;0;-1
17.32;12.1033;0;-1
17.36;12.1536;0;-1
17.4;12.2009;0;-1
17.44;12.2482;0;-1
17.48;12.291;0;-1
17.52;12.3337;0;-1
17.56;12.3718;0;-1
17.6;12.4161;0;-1
17.64;12.4466;0;-1
17.68;12.4817;0;-1
17.72;12.5168;0;-1
17.76;12.5565;0;-1
17.8;12.5824;0;-1
17.84;12.6083;0;-1
17.88;12.6373;0;-1
17.92;12.6648;0;-1
17.96;12.6877;0;-1
18.0;12.709;0;-1
18.04;12.7304;0;-1
18.08;12.7518;0;-1
18.12;12.7747;0;-1
18.16;12.7914;0;-1
18.2;12.8113;0;-1
18.24;12.8281;0;-1
18.28;12.8418;0;-1
18.32;12.8525;0;-1
18.36;12.8632;0;-1
18.4;12.8708;0;-1
18.44;12.8784;0;-1
18.48;12.8937;0;-1
18.52;12.8891;0;-1
18.56;12.8891;0;-1
18.6;12.8876;0;-1
18.64;12.886;0;-1
18.68;12.8845;0;-1
18.72;12.886;0;-1
18.76;12.8876;0;-1
18.8;12.8922;0;-1
18.84;12.8998;0;-1
18.88;12.9074;0;-1
18.92;12.9227;0;-1
18.96;12.9425;0;-1
19.0;12.9669;1;-1
19.04;12.9959;1;-1
19.08;13.0264;1;-1
19.12;13.063;1;-1
19.16;13.0997;1;-1
19.2;13.1439;1;-1
19.24;13.1851;1;-1
19.28;13.2309;1;-1
19.32;13.2751;1;-1
19.36;13.3179;1;-1
19.4;13.3621;1;-1
19.44;13.4094;1;-1
19.48;13.4537;1;-1
19.52;13.4964;1;-1
19.56;13.5345;1;-1
19.6;13.5727;1;-1
19.64;13.6108;1;-1
19.68;13.6383;1;-1
19.72;13.6658;1;-1
19.76;13.7009;1;-1
19.8;13.7268;1;-1
19.84;13.7466;1;-1
19.88;13.7604;1;-1
19.92;13.7695;1;-1
19.96;13.7894;1;-1
20.0;13.7863;1;-1
20.04;13.7848;1;-1
20.08;13.7772;1;-1
20.12;13.7695;1;-1
20.16;13.7619;1;-1
20.2;13.7604;1;-1
20.24;13.7466;1;-1
20.28;13.7299;1;-1
20.32;13.7161;1;-1
20.36;13.6978;1;-1
20.4;13.678;1;-1
20.44;13.6566;1;-1
20.48;13.6353;1;-1
20.52;13.6185;1;-1
20.56;13.6002;1;-1
20.6;13.5712;1;-1
20.64;13.5406;1;-1
20.68;13.5071;1;-1
20.72;13.4796;1;-1
20.76;13.4384;1;-1
20.8;13.4003;1;-1
20.84;13.3621;1;-1
20.88;13.324;1;-1
20.92;13.2843;1;-1
20.96;13.2416;1;-1
21.0;13.2004;0;-1
21.04;13.1577;0;-1
21.08;13.1134;0;-1
21.12;13.0692;0;-1
21.16;13.0234;0;-1
21.2;12.9791;0;-1
21.24;12.9364;0;-1
21.28;12.8906;0;-1
21.32;12.8448;0;-1
21.36;12.8006;0;-1
21.4;12.7609;0;-1
21.44;12.7182;0;-1
21.48;12.6816;0;-1
21.52;12.6404;0;-1
21.56;12.6007;0;-1
21.6;12.5626;0;-1
21.64;12.5259;0;-1
21.68;12.4924;0;-1
21.72;12.4588;0;-1
21.76;12.4283;0;-1
21.8;12.3947;0;-1
21.84;12.3627;0;-1
21.88;12.3322;0;-1
21.92;12.3016;0;-1
21.96;12.2711;0;-1
22.0;12.2437;0;-1
22.04;12.2131;0;-1
22.08;12.1857;0;-1
22.12;12.1567;0;-1
22.16;12.1323;0;-1
22.2;12.1094;0;-1
22.24;12.085;0;-1
22.28;12.0651;0;-1
22.32;12.0377;0;-1
22.36;12.0132;0;-1
22.4;11.9904;0;-1
22.44;11.9675;0;-1
22.48;11.9492;0;-1
22.52;11.9308;0;-1
