time;EDA;is_peak;classes
0.0;19.072;0;-1
0.04;19.1132;0;-1
0.08;19.1528;0;-1
0.12;19.191;0;-1
0.16;19.2245;0;-1
0.2;19.2581;0;-1
0.24;19.2917;0;-1
0.28;19.3253;0;-1
0.32;19.3619;0;-1
0.36;19.4046;0;-1
0.4;19.4534;0;-1
0.44;19.5007;0;-1
0.48;19.5435;0;-1
0.52;19.6045;0;-1
0.56;19.6609;0;-1
0.6;19.7174;0;-1
0.64;19.7754;0;-1
0.68;19.8334;0;-1
0.72;19.8975;0;-1
0.76;19.957;0;-1
0.8;20.015;0;-1
0.84;20.0729;0;-1
0.88;20.1248;0;-1
0.92;20.1752;0;-1
0.96;20.2179;0;-1
1.0;20.2606;0;-1
1.04;20.2957;0;-1
1.08;20.3308;0;-1
1.12;20.3644;0;-1
1.16;20.3979;0;-1
1.2;20.4208;0;-1
1.24;20.4575;0;-1
1.28;20.4895;0;-1
1.32;20.5276;0;-1
1.36;20.5612;0;-1
1.4;20.5902;0;-1
1.44;20.6192;0;-1
1.48;20.6512;0;-1
1.52;20.6833;0;-1
1.56;20.7184;0;-1
1.6;20.7489;0;-1
1.64;20.7779;0;-1
1.68;20.8054;0;-1
1.72;20.8389;0;-1
1.76;20.871;0;-1
1.8;20.9122;0;-1
1.84;20.9595;0;-1
1.88;21.0068;0;-1
1.92;21.0449;0;-1
1.96;21.08;0;-1
2.0;21.1121;0;-1
2.04;21.138;0;-1
2.08;21.1517;0;-1
2.12;21.1655;0;-1
2.16;21.1914;0;1
2.2;21.2128;0;1
2.24;21.2372;0;1
2.28;21.2555;0;1
2.32;21.2769;0;1
2.36;21.2952;0;1
2.4;21.3242;0;1
2.44;21.3623;0;1
2.48;21.4066;0;1
2.52;21.4645;0;1
2.56;21.5424;0;1
2.6;21.6324;0;1
2.64;21.7285;0;1
2.68;21.8369;0;1
2.72;21.9528;0;1
2.76;22.0673;0;1
2.8;22.1878;0;1
2.84;22.3053;0;1
2.88;22.4213;0;1
2.92;22.5342;0;1
2.96;22.641;0;1
3.0;22.7539;0;1
3.04;22.876;0;1
3.08;22.9813;0;1
3.12;23.0713;0;1
3.16;23.1613;0;1
3.2;23.2513;0;1
3.24;23.3505;0;1
3.28;23.4375;0;1
3.32;23.494;0;1
3.36;23.5565;0;1
3.4;23.6191;0;1
3.44;23.6725;0;1
3.48;23.7122;0;1
3.52;23.7488;0;1
3.56;23.7915;0;1
3.6;23.8266;0;1
3.64;23.8525;0;1
3.68;23.8693;0;1
3.72;23.88;0;1
3.76;23.8983;0;1
3.8;23.9044;0;1
3.84;23.9151;0;1
