time;FM1;FM2;FM3;FF1;FF2;FF3;mean_behaviour_rate;classes;EDA;is_peak
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[19.072, 19.072, 19.072, 19.0735, 19.0735, 19.075, 19.0765, 19.0781, 19.0796, 19.0811, 19.0826, 19.0826, 19.0842, 19.0857, 19.0872, 19.0887, 19.0887, 19.0903, 19.0918, 19.0918, 19.0933, 19.0933, 19.0948, 19.0948, 19.0964, 19.0979, 19.0994, 19.101, 19.1025, 19.104, 19.104, 19.1055, 19.1071, 19.1086, 19.1086, 19.1101, 19.1116, 19.1116, 19.1116, 19.1132];0
0.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[19.1132, 19.1132, 19.1147, 19.1162, 19.1162, 19.1177, 19.1193, 19.1208, 19.1223, 19.1238, 19.1254, 19.1269, 19.1269, 19.1284, 19.1299, 19.1315, 19.1315, 19.1315, 19.133, 19.133, 19.1345, 19.1345, 19.1345, 19.136, 19.136, 19.1376, 19.1376, 19.1391, 19.1406, 19.1406, 19.1422, 19.1437, 19.1452, 19.1467, 19.1467, 19.1483, 19.1498, 19.1498, 19.1513, 19.1513];0
0.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[19.1528, 19.1528, 19.1544, 19.1559, 19.1574, 19.1574, 19.1589, 19.1605, 19.162, 19.1635, 19.1635, 19.165, 19.1666, 19.1666, 19.1681, 19.1681, 19.1696, 19.1696, 19.1696, 19.1696, 19.1711, 19.1711, 19.1727, 19.1727, 19.1742, 19.1757, 19.1772, 19.1772, 19.1788, 19.1803, 19.1818, 19.1833, 19.1849, 19.1864, 19.1864, 19.1879, 19.1879, 19.1895, 19.1895, 19.1895];0
0.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[19.191, 19.191, 19.191, 19.1925, 19.1925, 19.194, 19.194, 19.1956, 19.1971, 19.1971, 19.1986, 19.2001, 19.2017, 19.2017, 19.2032, 19.2032, 19.2047, 19.2047, 19.2062, 19.2062, 19.2062, 19.2078, 19.2078, 19.2093, 19.2093, 19.2108, 19.2123, 19.2139, 19.2154, 19.2154, 19.2169, 19.2184, 19.22, 19.2215, 19.2215, 19.223, 19.223, 19.2245, 19.2245, 19.2245];0
0.16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[19.2245, 19.2261, 19.2261, 19.2261, 19.2276, 19.2276, 19.2291, 19.2307, 19.2322, 19.2322, 19.2337, 19.2352, 19.2368, 19.2368, 19.2383, 19.2398, 19.2398, 19.2413, 19.2413, 19.2413, 19.2429, 19.2429, 19.2429, 19.2444, 19.2444, 19.2459, 19.2474, 19.2474, 19.249, 19.2505, 19.2505, 19.252, 19.2535, 19.2535, 19.2551, 19.2551, 19.2566, 19.2566, 19.2566, 19.2581];0
0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[19.2581, 19.2581, 19.2596, 19.2596, 19.2612, 19.2627, 19.2627, 19.2642, 19.2657, 19.2657, 19.2673, 19.2688, 19.2688, 19.2703, 19.2719, 19.2719, 19.2734, 19.2734, 19.2749, 19.2749, 19.2749, 19.2764, 19.2764, 19.278, 19.278, 19.2795, 19.281, 19.2825, 19.2825, 19.2841, 19.2856, 19.2871, 19.2871, 19.2886, 19.2886, 19.2902, 19.2902, 19.2902, 19.2917, 19.2917];0
0.24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[19.2917, 19.2932, 19.2932, 19.2947, 19.2947, 19.2963, 19.2978, 19.2978, 19.2993, 19.3008, 19.3024, 19.3024, 19.3039, 19.3054, 19.3054, 19.3069, 19.3069, 19.3085, 19.3085, 19.31, 19.31, 19.31, 19.3115, 19.3115, 19.313, 19.313, 19.3146, 19.3161, 19.3176, 19.3176, 19.3192, 19.3207, 19.3207, 19.3222, 19.3222, 19.3237, 19.3237, 19.3237, 19.3253, 19.3253];0
0.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[19.3253, 19.3268, 19.3268, 19.3283, 19.3283, 19.3298, 19.3314, 19.3329, 19.3344, 19.3359, 19.3375, 19.339, 19.3405, 19.342, 19.3436, 19.3436, 19.3451, 19.3466, 19.3466, 19.3466, 19.3481, 19.3481, 19.3481, 19.3497, 19.3497, 19.3497, 19.3512, 19.3512, 19.3527, 19.3542, 19.3542, 19.3558, 19.3558, 19.3573, 19.3573, 19.3588, 19.3588, 19.3604, 19.3604, 19.3619];0
0.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[19.3619, 19.3634, 19.3634, 19.3649, 19.3665, 19.3665, 19.368, 19.3695, 19.371, 19.3726, 19.3741, 19.3756, 19.3771, 19.3787, 19.3787, 19.3802, 19.3802, 19.3817, 19.3817, 19.3832, 19.3832, 19.3848, 19.3848, 19.3863, 19.3863, 19.3878, 19.3893, 19.3909, 19.3924, 19.3939, 19.3954, 19.3954, 19.397, 19.3985, 19.4, 19.4, 19.4016, 19.4016, 19.4031, 19.4031];0
0.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[19.4046, 19.4046, 19.4061, 19.4077, 19.4092, 19.4107, 19.4122, 19.4138, 19.4153, 19.4168, 19.4183, 19.4199, 19.4214, 19.4229, 19.4244, 19.4244, 19.426, 19.4275, 19.4275, 19.429, 19.4305, 19.4305, 19.4321, 19.4321, 19.4336, 19.4351, 19.4366, 19.4382, 19.4397, 19.4412, 19.4427, 19.4443, 19.4458, 19.4473, 19.4473, 19.4489, 19.4504, 19.4504, 19.4519, 19.4519];0
