time;EDA;is_peak;classes
0.0;13.205;False;-1
0.04;13.2095;False;-1
0.08;13.2141;False;-1
0.12;13.2217;False;-1
0.16;13.2263;False;-1
0.2;13.2339;False;-1
0.24;13.2339;False;-1
0.28;13.2416;False;-1
0.32;13.2477;False;-1
0.36;13.2538;False;-1
0.4;13.2553;False;-1
0.44;13.2614;False;-1
0.48;13.2645;False;-1
0.52;13.2736;False;-1
0.56;13.2797;False;-1
0.6;13.2813;False;-1
0.64;13.2874;False;-1
0.68;13.2919;False;-1
0.72;13.295;False;-1
0.76;13.2996;False;-1
0.8;13.3057;False;-1
0.84;13.3087;False;-1
0.88;13.3133;False;-1
0.92;13.3209;False;-1
0.96;13.324;False;-1
1.0;13.327;False;-1
1.04;13.324;False;-1
1.08;13.3286;False;-1
1.12;13.3316;False;-1
1.16;13.3347;False;-1
1.2;13.3408;False;-1
1.24;13.3469;False;-1
1.28;13.356;False;-1
1.32;13.3484;False;-1
1.36;13.3484;False;-1
1.4;13.3514;False;-1
1.44;13.353;False;-1
1.48;13.3499;False;-1
1.52;13.353;False;-1
1.56;13.353;False;-1
1.6;13.3545;False;-1
1.64;13.3636;False;-1
1.68;13.3652;False;-1
1.72;13.3636;False;-1
1.76;13.3652;False;0
1.8;13.3652;False;0
1.84;13.3652;False;0
1.88;13.3682;False;0
1.92;13.3682;False;0
1.96;13.3667;True;0
2.0;13.3682;True;0
2.04;13.3682;True;0
2.08;13.3667;True;0
2.12;13.3698;True;0
2.16;13.3713;True;0
2.2;13.3713;True;0
2.24;13.3698;True;0
2.28;13.3698;True;0
2.32;13.3698;True;0
2.36;13.3682;True;0
2.4;13.3713;True;0
2.44;13.3682;True;0
2.48;13.3698;True;0
2.52;13.3698;True;0
2.56;13.3682;True;0
2.6;13.3682;True;0
2.64;13.3698;True;0
2.68;13.3652;True;0
2.72;13.3652;True;0
2.76;13.3667;True;0
2.8;13.3652;True;0
2.84;13.3621;True;0
2.88;13.353;True;0
2.92;13.3499;True;0
2.96;13.4048;True;0
3.0;13.3148;True;0
3.04;13.3301;True;0
3.08;13.3087;True;0
3.12;13.3347;True;0
3.16;13.3575;True;0
3.2;13.356;True;0
3.24;13.353;True;-1
3.28;13.353;True;-1
3.32;13.353;True;-1
3.36;13.3499;True;-1
3.4;13.3499;True;0
3.44;13.3499;True;0
3.48;13.3499;True;0
3.52;13.3469;True;0
3.56;13.3469;True;0
3.6;13.3423;True;0
3.64;13.3514;True;0
3.68;13.3316;True;0
3.72;13.324;True;0
3.76;13.3316;True;0
3.8;13.3057;True;0
3.84;13.3194;True;0
3.88;13.3255;True;0
3.92;13.3148;True;0
3.96;13.3194;True;0
4.0;13.2828;False;0
4.04;13.3148;False;0
4.08;13.3102;False;0
4.12;13.3194;False;0
4.16;13.3179;False;0
4.2;13.3179;False;0
4.24;13.3087;False;0
4.28;13.3072;False;0
4.32;13.3118;False;0
4.36;13.3118;False;0
4.4;13.3057;False;0
4.44;13.2996;False;0
4.48;13.3011;False;0
4.52;13.3011;False;0
4.56;13.2996;False;0
4.6;13.3102;False;0
4.64;13.295;False;0
