time;ECG ;is_high_frequency;classes
0.0;-0.033264;False;-1
0.04;0.058289;False;-1
0.08;0.45929;False;-1
0.12;0.06134;False;-1
0.16;0.13519;False;-1
0.2;0.096436;False;-1
0.24;0.19379;False;-1
0.28;0.47821;False;-1
0.32;0.24567;False;-1
0.36;0.066833;False;-1
0.4;0.037231;False;-1
0.44;0.13184;False;-1
0.48;0.065918;False;-1
0.52;0.057678;False;-1
0.56;0.0064087;False;1
0.6;0.042114;False;1
0.64;0.019226;False;1
0.68;0.098572;False;1
0.72;0.05188;False;1
0.76;0.13977;False;1
0.8;0.074463;False;1
0.84;-0.010376;False;1
0.88;1.8451;False;1
0.92;0.12543;False;1
0.96;0.058289;False;1
1.0;0.20569;False;1
1.04;0.17792;False;1
1.08;0.32715;False;1
1.12;0.45166;False;1
1.16;0.072632;False;1
1.2;-0.12573;False;1
1.24;-0.1355;False;1
1.28;-0.13672;False;1
1.32;-0.29266;False;1
1.36;-0.14435;False;1
1.4;-0.112;False;1
1.44;-0.21881;False;1
1.48;-0.18768;False;1
1.52;-0.069275;False;1
1.56;-0.20905;False;1
1.6;-0.41138;False;1
1.64;-0.49652;False;1
1.68;0.75256;False;1
1.72;-0.46906;False;1
1.76;-0.47577;False;1
1.8;-0.4422;False;1
1.84;-0.33661;False;1
1.88;-0.10681;False;1
1.92;-0.097351;False;1
1.96;-0.39368;False;1
2.0;-0.45929;False;1
2.04;-0.39551;False;1
2.08;-0.40039;False;1
2.12;-0.38055;False;1
2.16;-0.26978;False;1
2.2;-0.20721;False;1
2.24;-0.15991;False;1
2.28;-0.11719;False;1
2.32;-0.036316;False;1
2.36;0.074158;False;1
2.4;0.010376;False;1
2.44;0.035706;False;1
2.48;1.821;True;1
2.52;0.15625;True;1
2.56;0.1297;True;1
2.6;0.2063;True;1
2.64;0.35034;True;1
2.68;0.48981;True;1
2.72;0.64728;True;1
2.76;0.33936;False;1
2.8;0.20813;False;1
2.84;0.24872;False;1
2.88;0.25482;False;1
2.92;0.3363;False;1
2.96;0.28381;False;1
3.0;0.28076;False;1
3.04;0.2594;False;1
3.08;0.21454;False;1
3.12;0.29816;False;1
3.16;0.38147;False;1
3.2;0.25726;False;1
3.24;0.16327;False;1
3.28;0.084534;False;1
3.32;2.034;False;1
3.36;0.1358;False;1
3.4;0.071716;False;1
3.44;0.049744;False;1
3.48;-0.050354;False;1
3.52;-0.24017;False;1
3.56;-0.35492;False;1
3.6;-0.97473;False;1
3.64;-1.1154;False;1
3.68;-1.1993;False;1
3.72;-0.98877;False;1
3.76;-0.76843;False;1
3.8;-0.45563;False;1
3.84;-0.28198;False;1
3.88;-0.17944;False;1
3.92;-0.059204;True;1
3.96;0.1889;True;1
4.0;0.11292;True;1
4.04;0.079346;True;1
4.08;-0.042725;True;1
4.12;1.2146;True;1
4.16;-0.2356;True;1
4.2;-0.46906;True;1
4.24;-0.40741;True;1
4.28;-0.32288;True;1
4.32;-0.22217;False;1
4.36;-0.27374;False;1
4.4;-0.55359;False;1
4.44;-0.57251;False;1
4.48;-0.5246;False;1
4.52;-0.50049;False;1
4.56;-0.4538;False;1
