time;ECG ;is_high_frequency;classes
0.0;-0.18463;False;-1
0.04;-0.11719;False;-1
0.08;-0.084839;False;-1
0.12;0.023499;False;-1
0.16;0.06958;False;-1
0.2;0.10559;False;-1
0.24;0.18188;False;-1
0.28;0.19836;False;-1
0.32;0.25421;False;-1
0.36;0.271;False;-1
0.4;0.32043;False;-1
0.44;0.31616;False;-1
0.48;0.42053;False;-1
0.52;0.34241;False;-1
0.56;0.3064;False;-1
0.6;0.39551;False;-1
0.64;0.31586;False;-1
0.68;0.22858;False;-1
0.72;0.26093;False;-1
0.76;0.26093;False;-1
0.8;0.29449;False;-1
0.84;0.27039;False;-1
0.88;0.30792;False;-1
0.92;0.37537;False;-1
0.96;0.35431;False;-1
1.0;0.3653;False;-1
1.04;0.36835;False;-1
1.08;0.38818;False;-1
1.12;0.40527;False;-1
1.16;0.42236;False;-1
1.2;0.41382;False;-1
1.24;0.51514;False;-1
1.28;0.38422;False;-1
1.32;0.32043;False;-1
1.36;0.45502;False;-1
1.4;0.083313;False;-1
1.44;0.15167;False;-1
1.48;0.080261;False;-1
1.52;0.0057983;False;-1
1.56;-0.083313;False;-1
1.6;-0.18585;False;-1
1.64;-0.2652;False;-1
1.68;-0.34302;False;-1
1.72;-0.49652;False;-1
1.76;-0.56519;False;-1
1.8;-0.64758;False;-1
1.84;-0.71747;False;-1
1.88;-0.84106;False;-1
1.92;-0.88867;False;-1
1.96;-0.88593;False;-1
2.0;-0.84503;False;-1
2.04;-1.0471;False;-1
2.08;-1.1047;False;-1
2.12;-0.33905;False;-1
2.16;-1.3589;False;-1
2.2;-1.2598;False;-1
2.24;-1.2738;False;-1
2.28;-1.2479;False;-1
2.32;-1.2271;False;-1
2.36;-1.239;False;-1
2.4;-1.1362;False;-1
2.44;-1.1172;False;-1
2.48;-1.0992;False;-1
2.52;-1.0669;False;-1
2.56;-1.0324;False;-1
2.6;-1.0141;False;-1
2.64;-0.95947;False;-1
2.68;-0.91125;False;-1
2.72;-0.83496;False;-1
2.76;-0.69611;False;-1
2.8;-0.79132;False;-1
2.84;-0.75531;False;-1
2.88;-0.3186;False;-1
2.92;-0.88257;False;-1
2.96;-0.6665;False;-1
3.0;-0.58289;False;-1
3.04;-0.52551;False;-1
3.08;-0.49866;False;-1
3.12;-0.47394;False;-1
3.16;-0.38513;False;-1
3.2;-0.32501;False;-1
3.24;-0.3006;False;-1
3.28;-0.24719;True;-1
3.32;-0.21729;True;-1
3.36;-0.18372;True;-1
3.4;-0.14954;True;-1
3.44;-0.17792;True;-1
3.48;-0.15289;True;-1
3.52;-0.16663;True;-1
3.56;-0.092773;True;-1
3.6;-0.15717;True;-1
3.64;-0.14984;True;-1
3.68;-0.024719;True;1
3.72;-0.13672;True;1
3.76;-0.1535;True;1
3.8;-0.13458;True;1
3.84;-0.080872;True;1
3.88;-0.095825;True;1
3.92;0.016174;True;1
3.96;0.033264;True;1
4.0;0.12451;True;1
4.04;0.11719;True;1
4.08;0.16449;True;1
4.12;0.16541;True;1
4.16;0.17242;True;1
4.2;0.1355;True;1
4.24;0.11322;True;1
4.28;0.15717;True;1
4.32;0.23224;True;1
4.36;0.03479;True;1
4.4;0.005188;True;1
4.44;0.67963;True;1
4.48;-0.21912;True;1
4.52;-0.12177;True;1
