time;EDA;is_peak;classes
0.0;22.2702;False;0
0.04;22.2595;False;0
0.08;22.2458;False;0
0.12;22.2198;False;0
0.16;22.1878;False;0
0.2;22.1558;False;0
0.24;22.1069;False;0
0.28;22.0673;False;0
0.32;22.0657;False;0
0.36;22.0734;False;0
0.4;22.0657;False;0
0.44;22.0596;False;0
0.48;22.0764;False;0
0.52;22.0978;False;0
0.56;22.1588;False;0
0.6;22.1832;False;0
0.64;22.2153;False;0
0.68;22.2961;False;0
0.72;22.287;False;0
0.76;22.2626;False;0
0.8;22.2595;False;0
0.84;22.2534;False;0
0.88;22.2519;False;0
0.92;22.2427;False;0
0.96;22.2305;False;0
1.0;22.2015;False;0
1.04;22.1878;False;0
1.08;22.1802;False;0
1.12;22.1786;False;0
1.16;22.1573;False;0
1.2;22.1313;False;0
1.24;22.1069;False;0
1.28;22.1161;False;0
1.32;22.11;False;0
1.36;22.0779;False;0
1.4;22.1069;False;0
1.44;22.1039;False;0
1.48;22.1039;False;0
1.52;22.0795;False;0
1.56;22.0093;False;0
1.6;21.994;False;0
1.64;22.0001;False;0
1.68;22.0016;False;0
1.72;22.0108;False;0
1.76;22.0566;False;0
1.8;22.1054;False;0
1.84;22.1786;False;0
1.88;22.2366;False;0
1.92;22.2992;False;0
1.96;22.3465;False;0
2.0;22.3755;False;0
2.04;22.4213;False;0
2.08;22.4747;False;0
2.12;22.522;False;0
2.16;22.5677;False;0
2.2;22.5983;False;0
2.24;22.6273;False;0
2.28;22.6624;False;0
2.32;22.6868;False;0
2.36;22.7371;False;0
2.4;22.7692;False;0
2.44;22.7997;False;0
2.48;22.8455;False;0
2.52;22.8943;False;0
2.56;22.9355;False;0
2.6;22.9721;False;0
2.64;23.0011;False;0
2.68;23.024;False;0
2.72;23.0453;False;0
2.76;23.0515;False;0
2.8;23.0591;False;0
2.84;23.0682;False;0
2.88;23.0621;False;0
2.92;23.0499;False;0
2.96;23.0515;False;0
3.0;23.0499;False;0
3.04;23.0469;False;0
3.08;23.0469;False;0
3.12;23.0408;False;0
3.16;23.027;False;0
3.2;23.0209;False;1
3.24;23.024;False;1
3.28;23.0331;False;1
3.32;23.0362;False;1
3.36;23.0392;False;1
3.4;23.0408;False;1
3.44;23.0453;False;1
3.48;23.053;False;1
3.52;23.0606;False;1
3.56;23.0682;False;1
3.6;23.0728;True;1
3.64;23.0927;True;1
3.68;23.114;True;1
3.72;23.1415;True;1
3.76;23.1644;True;1
3.8;23.1964;True;1
3.84;23.2132;True;1
3.88;23.2315;True;1
3.92;23.262;True;1
3.96;23.2925;True;1
4.0;23.3109;True;1
4.04;23.3276;True;1
4.08;23.3475;True;1
4.12;23.3719;True;1
4.16;23.381;True;1
4.2;23.3978;True;1
4.24;23.4207;True;1
4.28;23.4497;True;1
4.32;23.4695;True;1
4.36;23.4787;True;1
4.4;23.4863;True;1
4.44;23.497;True;1
4.48;23.5367;True;1
4.52;23.5504;True;1
4.56;23.5733;True;1
4.6;23.558;True;1
4.64;23.5184;True;1
4.68;23.4619;True;1
4.72;23.4116;True;1
4.76;23.3673;True;1
4.8;23.3414;True;1
4.84;23.3063;True;1
4.88;23.2758;True;1
4.92;23.2483;True;1
4.96;23.2193;True;1
5.0;23.201;True;1
5.04;23.1674;True;1
5.08;23.143;True;1
5.12;23.1155;True;1
5.16;23.0865;True;1
5.2;23.0576;True;1
5.24;23.0209;True;1
5.28;22.9935;True;1
5.32;22.9691;True;1
5.36;22.9462;True;1
5.4;22.9218;True;1
5.44;22.9202;True;1
5.48;22.9065;True;1
5.52;22.8729;True;1
5.56;22.8607;True;1
5.6;22.8241;False;1
5.64;22.8058;False;1
5.68;22.7798;False;1
5.72;22.7539;False;1
5.76;22.731;False;1
5.8;22.7127;False;1
5.84;22.6913;False;1
5.88;22.6746;False;1
5.92;22.6486;False;1
5.96;22.6273;False;1
6.0;22.6074;False;1
6.04;22.5937;False;1
6.08;22.5815;False;1
6.12;22.5632;False;1
6.16;22.5647;False;1
6.2;22.5632;False;1
6.24;22.5708;False;1
6.28;22.583;False;1
6.32;22.6028;False;1
6.36;22.6303;False;1
6.4;22.6822;False;1
6.44;22.7631;False;1
6.48;22.8653;False;1
6.52;22.8897;False;1
6.56;22.9095;False;1
6.6;22.9233;False;1
6.64;23.0209;False;1
6.68;23.0225;False;1
6.72;23.0667;False;1
6.76;23.1003;False;1
6.8;23.1445;False;1
6.84;23.2025;False;1
6.88;23.2254;False;1
6.92;23.2498;False;1
6.96;23.2605;False;1
7.0;23.2742;False;1
7.04;23.288;False;1
7.08;23.3398;False;1
7.12;23.3582;False;1
7.16;23.3688;False;1
7.2;23.3612;False;1
7.24;23.3749;False;1
7.28;23.3948;False;1
7.32;23.4009;False;1
7.36;23.4222;False;1
7.4;23.436;False;1
7.44;23.4558;False;1
7.48;23.4741;False;1
7.52;23.4818;False;1
7.56;23.5123;False;1
7.6;23.5321;False;1
7.64;23.5352;False;1
7.68;23.526;False;1
7.72;23.5336;False;1
7.76;23.5245;False;1
7.8;23.5138;False;1
7.84;23.5092;False;1
7.88;23.558;False;1
7.92;23.6588;False;1
7.96;23.6923;False;1
8.0;23.7137;False;1
8.04;23.7625;False;1
