time;EDA;is_peak;classes
0.0;25.0641;0;0
0.04;25.0854;0;0
0.08;25.1068;0;0
0.12;25.1282;0;0
0.16;25.1572;0;0
0.2;25.177;0;0
0.24;25.2029;0;0
0.28;25.2289;0;0
0.32;25.2533;0;0
0.36;25.2792;0;0
0.4;25.3052;0;0
0.44;25.3311;0;0
0.48;25.3571;0;0
0.52;25.3784;0;0
0.56;25.4013;0;0
0.6;25.4257;0;0
0.64;25.4425;0;0
0.68;25.4623;0;0
0.72;25.4807;0;0
0.76;25.502;0;0
0.8;25.5127;0;0
0.84;25.531;0;0
0.88;25.5432;0;0
0.92;25.5569;0;0
0.96;25.5676;0;0
1.0;25.5829;0;0
1.04;25.5966;0;0
1.08;25.6058;0;0
1.12;25.6149;0;0
1.16;25.6195;1;0
1.2;25.6302;1;0
1.24;25.6348;1;0
1.28;25.6393;1;0
1.32;25.6439;1;0
1.36;25.6485;1;0
1.4;25.65;1;0
1.44;25.6531;1;0
1.48;25.6561;1;0
1.52;25.6577;1;0
1.56;25.6607;1;0
1.6;25.6653;1;0
1.64;25.6668;1;0
1.68;25.6668;1;0
1.72;25.6683;1;0
1.76;25.6653;1;0
1.8;25.6653;1;1
1.84;25.6668;1;1
1.88;25.6668;1;1
1.92;25.6714;1;1
1.96;25.679;1;1
2.0;25.6897;1;1
2.04;25.6958;1;1
2.08;25.6989;1;1
2.12;25.6989;1;0
2.16;25.6973;1;0
2.2;25.6973;1;0
2.24;25.6882;1;0
2.28;25.6866;1;0
2.32;25.6882;1;0
2.36;25.679;1;1
2.4;25.676;1;1
2.44;25.6683;1;0
2.48;25.6668;1;1
2.52;25.6592;1;1
2.56;25.6454;1;1
2.6;25.6241;1;1
2.64;25.5905;1;1
2.68;25.5798;1;1
2.72;25.5646;1;1
2.76;25.56;1;1
2.8;25.5493;1;1
2.84;25.5463;1;1
2.88;25.5417;1;1
2.92;25.5356;1;1
2.96;25.528;1;1
3.0;25.5173;1;1
3.04;25.528;1;1
3.08;25.5264;1;1
3.12;25.5325;1;1
3.16;25.5203;0;1
3.2;25.5096;0;1
3.24;25.5005;0;1
3.28;25.499;0;1
3.32;25.5005;0;1
3.36;25.5356;0;1
3.4;25.6454;0;1
3.44;25.6851;0;1
3.48;25.618;0;1
3.52;25.5981;0;1
3.56;25.6027;0;1
3.6;25.5966;0;1
3.64;25.5844;0;1
3.68;25.5844;0;1
3.72;25.5875;0;1
3.76;25.5981;0;1
3.8;25.5936;0;1
3.84;25.5981;0;1
3.88;25.6012;0;1
3.92;25.6042;0;1
3.96;25.6104;0;1
4.0;25.6149;0;1
4.04;25.621;0;1
4.08;25.6241;0;1
4.12;25.6241;0;1
4.16;25.6302;0;1
4.2;25.6378;0;1
4.24;25.6439;0;1
4.28;25.6516;0;1
4.32;25.6577;0;1
4.36;25.6638;0;1
4.4;25.679;1;1
4.44;25.6851;1;1
4.48;25.6958;1;1
4.52;25.6912;1;1
4.56;25.6958;1;1
4.6;25.6989;1;1
4.64;25.705;1;1
4.68;25.7034;1;1
4.72;25.7095;1;1
4.76;25.7141;1;1
4.8;25.7263;1;1
