time;FM1;FM2;FM3;FF1;FF2;FF3;mean_behaviour_rate;classes;EDA;is_peak
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[31.7551, 31.7535, 31.7535, 31.7535, 31.752, 31.752, 31.752, 31.752, 31.752, 31.752, 31.752, 31.7535, 31.7535, 31.7551, 31.7551, 31.7551, 31.7566, 31.7566, 31.7566, 31.7566, 31.7566, 31.7566, 31.7551, 31.7551, 31.7551, 31.7535, 31.7535, 31.7535, 31.7535, 31.7535, 31.7535, 31.7551, 31.7551, 31.7551, 31.7566, 31.7566, 31.7581, 31.7581, 31.7581, 31.7581];0
0.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[31.7581, 31.7581, 31.7581, 31.7581, 31.7581, 31.7566, 31.7566, 31.7566, 31.7566, 31.7566, 31.7566, 31.7566, 31.7566, 31.7581, 31.7581, 31.7581, 31.7581, 31.7596, 31.7596, 31.7596, 31.7596, 31.7596, 31.7581, 31.7581, 31.7581, 31.7581, 31.7581, 31.7581, 31.7581, 31.7581, 31.7581, 31.7581, 31.7596, 31.7596, 31.7612, 31.7612, 31.7612, 31.7612, 31.7612, 31.7612];0
0.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[31.7612, 31.7612, 31.7596, 31.7596, 31.7596, 31.7581, 31.7581, 31.7581, 31.7581, 31.7596, 31.7596, 31.7612, 31.7612, 31.7627, 31.7627, 31.7642, 31.7642, 31.7642, 31.7657, 31.7657, 31.7657, 31.7642, 31.7642, 31.7642, 31.7642, 31.7642, 31.7642, 31.7642, 31.7642, 31.7642, 31.7657, 31.7657, 31.7673, 31.7688, 31.7688, 31.7703, 31.7719, 31.7719, 31.7719, 31.7719];0
0.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[31.7719, 31.7719, 31.7719, 31.7719, 31.7703, 31.7703, 31.7703, 31.7703, 31.7703, 31.7703, 31.7703, 31.7719, 31.7719, 31.7734, 31.7734, 31.7734, 31.7749, 31.7749, 31.7749, 31.7749, 31.7749, 31.7749, 31.7734, 31.7734, 31.7719, 31.7719, 31.7703, 31.7703, 31.7703, 31.7703, 31.7703, 31.7703, 31.7719, 31.7719, 31.7734, 31.7734, 31.7734, 31.7749, 31.7749, 31.7749];0
0.16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[31.7749, 31.7749, 31.7734, 31.7734, 31.7734, 31.7719, 31.7719, 31.7719, 31.7719, 31.7719, 31.7719, 31.7734, 31.7734, 31.7734, 31.7749, 31.7749, 31.7764, 31.7764, 31.7764, 31.7764, 31.7764, 31.7749, 31.7749, 31.7749, 31.7734, 31.7734, 31.7734, 31.7734, 31.7734, 31.7734, 31.7734, 31.7734, 31.7749, 31.7749, 31.7764, 31.7764, 31.778, 31.778, 31.778, 31.778];0
0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[31.778, 31.778, 31.778, 31.778, 31.7764, 31.7764, 31.7764, 31.7764, 31.7764, 31.7764, 31.7764, 31.778, 31.778, 31.778, 31.7795, 31.7795, 31.7795, 31.781, 31.781, 31.781, 31.781, 31.781, 31.7795, 31.7795, 31.7795, 31.7795, 31.7795, 31.7795, 31.7795, 31.7795, 31.781, 31.781, 31.7825, 31.7825, 31.7841, 31.7841, 31.7856, 31.7856, 31.7856, 31.7856];0
0.24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[31.7856, 31.7856, 31.7856, 31.7841, 31.7841, 31.7841, 31.7841, 31.7841, 31.7841, 31.7841, 31.7856, 31.7856, 31.7871, 31.7886, 31.7886, 31.7902, 31.7917, 31.7917, 31.7932, 31.7932, 31.7932, 31.7932, 31.7932, 31.7932, 31.7932, 31.7932, 31.7932, 31.7932, 31.7932, 31.7932, 31.7932, 31.7932, 31.7932, 31.7932, 31.7947, 31.7947, 31.7947, 31.7947, 31.7947, 31.7932];0
0.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[31.7932, 31.7932, 31.7917, 31.7917, 31.7902, 31.7902, 31.7902, 31.7902, 31.7902, 31.7902, 31.7917, 31.7932, 31.7932, 31.7947, 31.7963, 31.7963, 31.7978, 31.7978, 31.7993, 31.7993, 31.7993, 31.7993, 31.7993, 31.7993, 31.7993, 31.7993, 31.7993, 31.7993, 31.7993, 31.7993, 31.7993, 31.8008, 31.8008, 31.8024, 31.8024, 31.8039, 31.8039, 31.8039, 31.8054, 31.8054];0
0.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[31.8054, 31.8054, 31.8039, 31.8039, 31.8039, 31.8039, 31.8039, 31.8039, 31.8039, 31.8039, 31.8039, 31.8054, 31.8054, 31.8069, 31.8069, 31.8085, 31.8085, 31.81, 31.81, 31.81, 31.81, 31.81, 31.81, 31.81, 31.8085, 31.8085, 31.8085, 31.8085, 31.81, 31.81, 31.81, 31.8115, 31.8115, 31.813, 31.813, 31.8146, 31.8146, 31.8161, 31.8161, 31.8161];0
0.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;[31.8161, 31.8161, 31.8161, 31.8161, 31.8161, 31.8161, 31.8146, 31.8146, 31.8161, 31.8161, 31.8161, 31.8176, 31.8176, 31.8192, 31.8192, 31.8207, 31.8222, 31.8222, 31.8222, 31.8222, 31.8237, 31.8237, 31.8237, 31.8237, 31.8237, 31.8237, 31.8237, 31.8237, 31.8237, 31.8237, 31.8253, 31.8253, 31.8268, 31.8268, 31.8283, 31.8283, 31.8298, 31.8298, 31.8298, 31.8298];0
