time;mean_behaviour_rate;classes
0.0;0.0;-1
0.04;0.0;-1
0.08;0.0;-1
0.12;0.0;-1
0.16;0.0;-1
0.2;0.0;-1
0.24;0.0;-1
0.28;0.0;-1
0.32;0.0;-1
0.36;0.0;-1
0.4;0.0;-1
0.44;0.0;-1
0.48;0.0;-1
0.52;0.0;-1
0.56;0.0;-1
0.6;0.0;-1
0.64;0.0;-1
0.68;0.0;-1
0.72;0.0;-1
0.76;0.0;-1
0.8;0.005;-1
0.84;0.005;-1
0.88;0.005;-1
0.92;0.0066666666666666;-1
0.96;0.005;-1
1.0;0.0033333333333333;-1
1.04;0.0033333333333333;-1
1.08;0.0033333333333333;-1
1.12;0.0033333333333333;-1
1.16;0.0033333333333333;-1
1.2;0.0033333333333333;-1
1.24;0.0033333333333333;-1
1.28;0.005;-1
1.32;0.0066666666666666;-1
1.36;0.01;-1
1.4;0.0133333333333333;-1
1.44;0.0116666666666666;-1
1.48;0.0116666666666666;-1
1.52;0.0133333333333333;-1
1.56;0.0166666666666666;-1
1.6;0.02;-1
1.64;0.0249999999999999;-1
1.68;0.0266666666666666;-1
1.72;0.0266666666666666;-1
1.76;0.0266666666666666;-1
1.8;0.0266666666666666;-1
1.84;0.03;-1
1.88;0.0316666666666666;-1
1.92;0.0349999999999999;-1
1.96;0.0366666666666666;-1
2.0;0.04;-1
2.04;0.05;0
2.08;0.06;0
2.12;0.07;0
2.16;0.0783333333333333;0
2.2;0.0833333333333333;0
2.24;0.09;0
2.28;0.0933333333333333;0
2.32;0.0966666666666666;0
2.36;0.0983333333333333;0
2.4;0.105;0
2.44;0.1116666666666666;0
2.48;0.12;0
2.52;0.1283333333333333;0
2.56;0.14;0
2.6;0.1516666666666667;1
2.64;0.1583333333333333;1
2.68;0.1666666666666667;1
2.72;0.1816666666666666;1
2.76;0.1916666666666666;1
2.8;0.2016666666666666;1
2.84;0.2116666666666666;1
2.88;0.2183333333333333;1
2.92;0.2266666666666666;1
2.96;0.2299999999999999;1
3.0;0.2299999999999999;1
3.04;0.2316666666666667;1
3.08;0.24;1
3.12;0.245;1
3.16;0.2516666666666667;1
3.2;0.255;1
3.24;0.2583333333333333;1
3.28;0.26;1
3.32;0.26;1
3.36;0.2616666666666667;1
3.4;0.2616666666666667;1
3.44;0.2633333333333333;1
3.48;0.2666666666666666;1
3.52;0.27;1
3.56;0.2883333333333333;1
3.6;0.3;1
