time;FM1;FM2;FM3;FF1;FF2;FF3;mean_behaviour_rate;classes
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1
0.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1
0.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1
0.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1
0.16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1
0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1
0.24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1
0.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1
0.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1
0.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1
0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1
0.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1
0.48;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1
0.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1
0.56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1
0.6;0.0;0.0;0.0;0.0;0.03;0.0;0.005;-1
0.64;0.0;0.0;0.0;0.0;0.06;0.0;0.01;-1
0.68;0.0;0.0;0.0;0.0;0.08;0.0;0.013333333333333334;-1
0.72;0.0;0.0;0.0;0.0;0.09;0.0;0.015;-1
0.76;0.0;0.0;0.0;0.0;0.09;0.0;0.015;-1
0.8;0.0;0.0;0.0;0.0;0.1;0.0;0.016666666666666666;-1
0.84;0.0;0.0;0.0;0.0;0.02;0.0;0.0033333333333333335;-1
0.88;0.0;0.0;0.0;0.0;0.03;0.0;0.005;-1
0.92;0.0;0.0;0.0;0.0;0.04;0.0;0.006666666666666667;-1
0.96;0.0;0.0;0.0;0.0;0.06;0.0;0.01;-1
1.0;0.0;0.0;0.0;0.0;0.07;0.0;0.011666666666666667;-1
1.04;0.0;-0.03;0.0;0.0;0.08;0.0;0.008333333333333333;-1
1.08;0.0;-0.01;0.0;0.0;0.09;0.0;0.013333333333333334;-1
